Дата;1к - 140т.р.;1к - 145т.р.;1к - 150т.р.;1к - 155т.р.;1к - 160т.р.;1к - 165т.р.;1к - 170т.р.;1к - 175т.р.;1к - 180т.р.;1к - 185т.р.;1к - 190т.р.;1к - 195т.р.;1к - 200т.р.;1к - 205т.р.;1к - 210т.р.;1к - 215т.р.;1к - 220т.р.;2к - 140т.р.;2к - 145т.р.;2к - 150т.р.;2к - 155т.р.;2к - 160т.р.;2к - 165т.р.;2к - 170т.р.;2к - 175т.р.;2к - 180т.р.;2к - 185т.р.;2к - 190т.р.;2к - 195т.р.;2к - 200т.р.;2к - 205т.р.;2к - 210т.р.;2к - 215т.р.;2к - 220т.р.;3к - 140т.р.;3к - 145т.р.;3к - 150т.р.;3к - 155т.р.;3к - 160т.р.;3к - 165т.р.;3к - 170т.р.;3к - 175т.р.;3к - 180т.р.;3к - 185т.р.;3к - 190т.р.;3к - 195т.р.;3к - 200т.р.;3к - 205т.р.;3к - 210т.р.;3к - 215т.р.;3к - 220т.р.
2025-11-11;95;117;138;175;203;242;284;330;378;421;453;498;550;592;633;666;708;204;251;298;352;395;439;485;532;573;617;658;685;730;760;781;808;835;211;254;288;335;374;398;434;465;499;520;548;569;593;610;626;646;660
2025-11-12;99;128;152;192;222;260;311;369;422;468;509;567;631;689;747;785;831;246;299;356;413;469;524;580;636;686;738;789;824;880;922;951;989;1022;250;299;342;394;438;472;516;551;585;609;648;675;704;723;741;773;792
2025-11-15;98;124;148;188;215;251;308;355;408;454;500;559;626;680;737;769;812;246;301;361;416;468;522;575;635;681;730;784;817;869;907;940;975;1008;248;296;340;388;432;465;505;539;573;598;637;664;693;714;736;766;781
2025-11-15;96;122;146;186;213;251;304;351;405;451;496;555;622;676;733;765;808;245;300;361;415;467;519;574;632;679;727;782;815;867;903;936;971;1002;248;297;341;389;433;466;507;540;574;599;638;665;694;715;737;767;782
2025-11-20;91;118;145;178;203;237;284;326;379;425;480;532;599;653;712;742;797;245;301;360;420;469;525;585;649;697;750;802;832;877;917;948;991;1022;254;307;348;400;444;478;518;551;584;612;651;674;703;723;746;776;793
2025-11-21;90;116;140;173;198;231;276;321;370;418;476;531;594;647;701;734;788;242;299;357;413;466;522;576;638;686;737;791;822;869;909;939;981;1012;255;311;350;399;441;477;516;548;579;608;648;672;702;723;746;773;791
2025-11-27;87;112;133;166;189;216;262;309;362;405;460;515;572;620;677;710;756;240;293;354;405;455;515;576;630;682;742;791;824;874;914;940;981;1017;259;311;355;408;451;488;529;557;591;622;665;688;716;737;762;791;807


2025-12-03;85;107;124;148;175;198;241;288;340;378;428;481;534;574;631;665;717;200;252;304;349;398;460;516;571;622;683;724;752;804;842;871;910;944;242;292;336;386;423;457;497;529;562;594;635;660;683;702;728;759;775
2025-12-05;85;109;124;146;172;196;241;286;343;380;431;484;530;574;637;669;714;198;255;308;360;411;471;525;575;627;690;734;766;816;861;893;927;964;253;302;347;398;437;468;510;543;574;605;646;670;697;718;744;773;787
2025-12-08;78;101;112;133;159;184;228;274;330;367;415;463;507;551;614;644;687;195;248;303;351;401;457;510;560;608;667;711;744;792;839;874;906;941;246;299;341;394;433;465;506;539;569;595;636;661;687;706;731;759;774
2025-12-15;78;102;114;136;159;188;238;278;330;371;410;455;505;552;613;647;686;206;257;314;362;416;467;527;574;629;678;716;755;806;846;882;918;948;228;280;321;383;421;449;495;523;552;583;623;649;677;695;723;744;763
2025-12-16;76;100;112;134;154;182;230;272;322;366;404;448;498;546;604;638;677;210;266;323;371;422;474;532;578;634;680;718;758;812;851;888;923;952;225;276;318;380;419;448;492;519;548;580;620;645;675;694;722;744;763
2025-12-19;71;97;109;129;153;177;228;271;319;361;398;444;490;533;594;627;661;202;254;300;344;393;442;496;540;596;637;672;713;762;802;842;874;909;211;256;295;351;388;418;463;491;524;557;598;622;652;673;703;727;745
2025-12-22;74;100;111;130;154;178;225;269;310;351;387;430;475;519;572;608;638;199;249;295;338;385;431;483;529;586;623;659;698;746;781;818;849;880;208;251;288;346;379;406;452;480;513;547;584;607;634;656;687;711;727
2025-12-23;73;100;112;129;153;178;224;267;308;348;381;424;470;515;566;605;636;200;253;302;346;393;441;489;534;592;631;666;704;753;787;824;854;885;206;250;285;343;376;403;447;476;508;542;579;602;628;649;680;703;720
